Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths",Tpye 
Guinea,7/31/2015,3,452,3326,3781,,452,2069,2521,Ebola
Spain,7/31/2015,0,0,1,1,0,0,0,0,Ebola
Italy,7/31/2015,0,0,1,1,,,,0,Ebola
Liberia,7/31/2015,5636,1879,3151,10666,,,,4806,Ebola
Mali,7/31/2015,0,1,7,8,,,,6,Ebola
United Kingdom,8/3/2015,0,0,1,1,,,,0,Ebola
Liberia,8/3/2015,,0,6,6,,,2,2,Ebola
Sierra Leone,8/3/2015,4420,287,8695,13402,158,208,3585,3951,Ebola
Italy,8/3/2015,0,0,1,1,,,,0,Ebola
United States of America,8/3/2015,0,0,4,4,0,0,1,1,Ebola
Nigeria,8/3/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,8/3/2015,5636,1879,3151,10666,,,,4806,Ebola
Guinea,8/3/2015,7,452,3327,3786,,452,2070,2522,Ebola
Spain,8/3/2015,0,0,1,1,0,0,0,0,Ebola
Senegal,8/3/2015,0,0,1,1,0,0,0,0,Ebola
Mali,8/3/2015,0,1,7,8,,,,6,Ebola
Spain,8/4/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,8/4/2015,4424,287,8695,13406,158,208,3585,3951,Ebola
Liberia,8/4/2015,5636,1879,3151,10666,,,,4806,Ebola
United Kingdom,8/4/2015,0,0,1,1,,,,0,Ebola
Italy,8/4/2015,0,0,1,1,,,,0,Ebola
United States of America,8/4/2015,0,0,4,4,0,0,1,1,Ebola
Senegal,8/4/2015,0,0,1,1,0,0,0,0,Ebola
Mali,8/4/2015,0,1,7,8,,,,6,Ebola
Nigeria,8/4/2015,0,1,19,20,0,1,7,8,Ebola
Guinea,8/4/2015,5,452,3327,3784,,452,2070,2522,Ebola
Liberia,8/4/2015,,0,6,6,,,2,2,Ebola
Guinea,8/5/2015,5,452,3327,3784,,452,2070,2522,Ebola
Spain,8/5/2015,0,0,1,1,0,0,0,0,Ebola
Mali,8/5/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,8/5/2015,4424,287,8695,13406,158,208,3585,3951,Ebola
Liberia,8/5/2015,5636,1879,3151,10666,,,,4806,Ebola
Italy,8/5/2015,0,0,1,1,,,,0,Ebola
Senegal,8/5/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,8/5/2015,,0,6,6,,,2,2,Ebola
United States of America,8/5/2015,0,0,4,4,0,0,1,1,Ebola
United Kingdom,8/5/2015,0,0,1,1,,,,0,Ebola
Nigeria,8/5/2015,0,1,19,20,0,1,7,8,Ebola
Spain,8/6/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,8/6/2015,11,452,3329,3792,,452,2072,2524,Ebola
Senegal,8/6/2015,0,0,1,1,0,0,0,0,Ebola
Mali,8/6/2015,0,1,7,8,,,,6,Ebola
Nigeria,8/6/2015,0,1,19,20,0,1,7,8,Ebola
United Kingdom,8/6/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,8/6/2015,4443,287,8696,13426,158,208,3585,3951,Ebola
Liberia,8/6/2015,5636,1879,3151,10666,,,,4806,Ebola
Liberia,8/6/2015,,0,6,6,,,2,2,Ebola
United States of America,8/6/2015,0,0,4,4,0,0,1,1,Ebola
Italy,8/6/2015,0,0,1,1,,,,0,Ebola
Liberia,8/7/2015,,0,6,6,,,2,2,Ebola
Spain,8/7/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,8/7/2015,4445,287,8696,13428,158,208,3585,3951,Ebola
United States of America,8/7/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,8/7/2015,5636,1879,3151,10666,,,,4806,Ebola
Guinea,8/7/2015,14,452,3329,3795,,452,2072,2524,Ebola
Senegal,8/7/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,8/7/2015,0,0,1,1,,,,0,Ebola
Nigeria,8/7/2015,0,1,19,20,0,1,7,8,Ebola
Italy,8/7/2015,0,0,1,1,,,,0,Ebola
Mali,8/7/2015,0,1,7,8,,,,6,Ebola
Liberia,8/10/2015,,0,6,6,,,2,2,Ebola
United Kingdom,8/10/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,8/10/2015,4481,287,8697,13465,158,208,3585,3951,Ebola
Senegal,8/10/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,8/10/2015,5636,1879,3151,10666,,,,4806,Ebola
Spain,8/10/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,8/10/2015,10,452,3329,3791,,452,2072,2524,Ebola
Mali,8/10/2015,0,1,7,8,,,,6,Ebola
United States of America,8/10/2015,0,0,4,4,0,0,1,1,Ebola
Italy,8/10/2015,0,0,1,1,,,,0,Ebola
Nigeria,8/10/2015,0,1,19,20,0,1,7,8,Ebola
Spain,8/11/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,8/11/2015,6,452,3329,3787,,452,2072,2524,Ebola
Italy,8/11/2015,0,0,1,1,,,,0,Ebola
Liberia,8/11/2015,,0,6,6,,,2,2,Ebola
United States of America,8/11/2015,0,0,4,4,0,0,1,1,Ebola
Sierra Leone,8/11/2015,4486,287,8697,13470,158,208,3585,3951,Ebola
Senegal,8/11/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,8/11/2015,0,1,19,20,0,1,7,8,Ebola
United Kingdom,8/11/2015,0,0,1,1,,,,0,Ebola
Mali,8/11/2015,0,1,7,8,,,,6,Ebola
Liberia,8/11/2015,5636,1879,3151,10666,,,,4806,Ebola
Liberia,8/12/2015,,0,6,6,,,2,2,Ebola
Spain,8/12/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,8/12/2015,0,0,1,1,,,,0,Ebola
Nigeria,8/12/2015,0,1,19,20,0,1,7,8,Ebola
United States of America,8/12/2015,0,0,4,4,0,0,1,1,Ebola
Italy,8/12/2015,0,0,1,1,,,,0,Ebola
Mali,8/12/2015,0,1,7,8,,,,6,Ebola
Liberia,8/12/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,8/12/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,8/12/2015,6,452,3329,3787,,452,2072,2524,Ebola
Sierra Leone,8/12/2015,4486,287,8697,13470,158,208,3585,3951,Ebola
Senegal,8/13/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,8/13/2015,10,452,3330,3792,,452,2072,2524,Ebola
Sierra Leone,8/13/2015,4500,287,8697,13484,158,208,3585,3951,Ebola
Italy,8/13/2015,0,0,1,1,,,,0,Ebola
Spain,8/13/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,8/13/2015,0,0,1,1,,,,0,Ebola
Mali,8/13/2015,0,1,7,8,,,,6,Ebola
United States of America,8/13/2015,0,0,4,4,0,0,1,1,Ebola
Nigeria,8/13/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,8/13/2015,,0,6,6,,,2,2,Ebola
Liberia,8/13/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,8/14/2015,0,0,1,1,0,0,0,0,Ebola
Mali,8/14/2015,0,1,7,8,,,,6,Ebola
Spain,8/14/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,8/14/2015,0,1,19,20,0,1,7,8,Ebola
United States of America,8/14/2015,0,0,4,4,0,0,1,1,Ebola
Italy,8/14/2015,0,0,1,1,,,,0,Ebola
Guinea,8/14/2015,9,452,3330,3791,,452,2072,2524,Ebola
Sierra Leone,8/14/2015,4501,287,8697,13485,158,208,3586,3952,Ebola
Liberia,8/14/2015,,0,6,6,,,2,2,Ebola
Liberia,8/14/2015,5636,1879,3151,10666,,,,4806,Ebola
United Kingdom,8/14/2015,0,0,1,1,,,,0,Ebola
Guinea,8/17/2015,6,452,3332,3790,,452,2072,2524,Ebola
Senegal,8/17/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,8/17/2015,,0,6,6,,,2,2,Ebola
Spain,8/17/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,8/17/2015,4505,287,8697,13489,158,208,3586,3952,Ebola
Italy,8/17/2015,0,0,1,1,,,,0,Ebola
United States of America,8/17/2015,0,0,4,4,0,0,1,1,Ebola
Nigeria,8/17/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,8/17/2015,5636,1879,3151,10666,,,,4806,Ebola
Mali,8/17/2015,0,1,7,8,,,,6,Ebola
United Kingdom,8/17/2015,0,0,1,1,,,,0,Ebola
United Kingdom,8/18/2015,0,0,1,1,,,,0,Ebola
Spain,8/18/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,8/18/2015,4510,287,8697,13494,158,208,3586,3952,Ebola
Italy,8/18/2015,0,0,1,1,,,,0,Ebola
Liberia,8/18/2015,5636,1879,3151,10666,,,,4806,Ebola
Guinea,8/18/2015,2,452,3332,3786,,452,2072,2524,Ebola
United States of America,8/18/2015,0,0,4,4,0,0,1,1,Ebola
Senegal,8/18/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,8/18/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,8/18/2015,,0,6,6,,,2,2,Ebola
Mali,8/18/2015,0,1,7,8,,,,6,Ebola
Liberia,8/19/2015,,0,6,6,,,2,2,Ebola
Italy,8/19/2015,0,0,1,1,,,,0,Ebola
Senegal,8/19/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,8/19/2015,0,1,19,20,0,1,7,8,Ebola
Spain,8/19/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,8/19/2015,2,452,3332,3786,,452,2072,2524,Ebola
United Kingdom,8/19/2015,0,0,1,1,,,,0,Ebola
Mali,8/19/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,8/19/2015,4510,287,8697,13494,158,208,3586,3952,Ebola
Liberia,8/19/2015,5636,1879,3151,10666,,,,4806,Ebola
United States of America,8/19/2015,0,0,4,4,0,0,1,1,Ebola
Senegal,8/20/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,8/20/2015,6,452,3334,3792,,452,2074,2526,Ebola
Liberia,8/20/2015,5636,1879,3151,10666,,,,4806,Ebola
Spain,8/20/2015,0,0,1,1,0,0,0,0,Ebola
Mali,8/20/2015,0,1,7,8,,,,6,Ebola
Nigeria,8/20/2015,0,1,19,20,0,1,7,8,Ebola
United Kingdom,8/20/2015,0,0,1,1,,,,0,Ebola
Italy,8/20/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,8/20/2015,4534,287,8697,13518,158,208,3586,3952,Ebola
United States of America,8/20/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,8/20/2015,,0,6,6,,,2,2,Ebola
Senegal,8/21/2015,0,0,1,1,0,0,0,0,Ebola
Italy,8/21/2015,0,0,1,1,,,,0,Ebola
Liberia,8/21/2015,,0,6,6,,,2,2,Ebola
Spain,8/21/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,8/21/2015,0,0,4,4,0,0,1,1,Ebola
Guinea,8/21/2015,9,452,3334,3795,,452,2074,2526,Ebola
Liberia,8/21/2015,5636,1879,3151,10666,,,,4806,Ebola
Nigeria,8/21/2015,0,1,19,20,0,1,7,8,Ebola
Mali,8/21/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,8/21/2015,4549,287,8697,13533,158,208,3586,3952,Ebola
United Kingdom,8/21/2015,0,0,1,1,,,,0,Ebola
Liberia,8/24/2015,,0,6,6,,,2,2,Ebola
Senegal,8/24/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,8/24/2015,4,452,3334,3790,,452,2075,2527,Ebola
United Kingdom,8/24/2015,0,0,1,1,,,,0,Ebola
Mali,8/24/2015,0,1,7,8,,,,6,Ebola
Spain,8/24/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,8/24/2015,0,1,19,20,0,1,7,8,Ebola
Italy,8/24/2015,0,0,1,1,,,,0,Ebola
United States of America,8/24/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,8/24/2015,5636,1879,3151,10666,,,,4806,Ebola
Sierra Leone,8/24/2015,4554,287,8697,13538,158,208,3586,3952,Ebola
Italy,8/25/2015,0,0,1,1,,,,0,Ebola
Senegal,8/25/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,8/25/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,8/25/2015,5636,1879,3151,10666,,,,4806,Ebola
Liberia,8/25/2015,,0,6,6,,,2,2,Ebola
Spain,8/25/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,8/25/2015,4557,287,8697,13541,158,208,3586,3952,Ebola
Mali,8/25/2015,0,1,7,8,,,,6,Ebola
Nigeria,8/25/2015,0,1,19,20,0,1,7,8,Ebola
Guinea,8/25/2015,5,452,3335,3792,,452,2075,2527,Ebola
United Kingdom,8/25/2015,0,0,1,1,,,,0,Ebola
Liberia,8/26/2015,,0,6,6,,,2,2,Ebola
Mali,8/26/2015,0,1,7,8,,,,6,Ebola
United States of America,8/26/2015,0,0,4,4,0,0,1,1,Ebola
Italy,8/26/2015,0,0,1,1,,,,0,Ebola
Nigeria,8/26/2015,0,1,19,20,0,1,7,8,Ebola
Sierra Leone,8/26/2015,4557,287,8697,13541,158,208,3586,3952,Ebola
Spain,8/26/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,8/26/2015,5,452,3335,3792,,452,2075,2527,Ebola
United Kingdom,8/26/2015,0,0,1,1,,,,0,Ebola
Senegal,8/26/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,8/26/2015,5636,1879,3151,10666,,,,4806,Ebola
Liberia,8/27/2015,,0,6,6,,,2,2,Ebola
Mali,8/27/2015,0,1,7,8,,,,6,Ebola
Nigeria,8/27/2015,0,1,19,20,0,1,7,8,Ebola
Guinea,8/27/2015,9,452,3336,3797,,452,2076,2528,Ebola
Italy,8/27/2015,0,0,1,1,,,,0,Ebola
Spain,8/27/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,8/27/2015,4598,287,8697,13582,158,208,3586,3952,Ebola
Liberia,8/27/2015,5636,1879,3151,10666,,,,4806,Ebola
United Kingdom,8/27/2015,0,0,1,1,,,,0,Ebola
Senegal,8/27/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,8/27/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,8/28/2015,5636,1879,3151,10666,,,,4806,Ebola
Mali,8/28/2015,0,1,7,8,,,,6,Ebola
United States of America,8/28/2015,0,0,4,4,0,0,1,1,Ebola
Spain,8/28/2015,0,0,1,1,0,0,0,0,Ebola
Senegal,8/28/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,8/28/2015,,0,6,6,,,2,2,Ebola
Nigeria,8/28/2015,0,1,19,20,0,1,7,8,Ebola
Italy,8/28/2015,0,0,1,1,,,,0,Ebola
Guinea,8/28/2015,9,452,3336,3797,,452,2076,2528,Ebola
United Kingdom,8/28/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,8/28/2015,4602,287,8697,13586,158,208,3586,3952,Ebola
Mali,8/31/2015,0,1,7,8,,,,6,Ebola
Liberia,8/31/2015,,0,6,6,,,2,2,Ebola
Guinea,8/31/2015,1,452,3337,3790,,452,2076,2528,Ebola
Sierra Leone,8/31/2015,4618,287,8698,13603,158,208,3587,3953,Ebola
Nigeria,8/31/2015,0,1,19,20,0,1,7,8,Ebola
Senegal,8/31/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,8/31/2015,5636,1879,3151,10666,,,,4806,Ebola
Spain,8/31/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,8/31/2015,0,0,4,4,0,0,1,1,Ebola
United Kingdom,8/31/2015,0,0,1,1,,,,0,Ebola
Italy,8/31/2015,0,0,1,1,,,,0,Ebola
Spain,9/1/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,9/1/2015,3,452,3337,3792,,452,2077,2529,Ebola
Liberia,9/1/2015,5636,1879,3151,10666,,,,4806,Ebola
Sierra Leone,9/1/2015,4624,287,8698,13609,158,208,3587,3953,Ebola
United States of America,9/1/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,9/1/2015,,0,6,6,,,2,2,Ebola
Mali,9/1/2015,0,1,7,8,,,,6,Ebola
Italy,9/1/2015,0,0,1,1,,,,0,Ebola
United Kingdom,9/1/2015,0,0,1,1,,,,0,Ebola
Senegal,9/1/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,9/1/2015,0,1,19,20,0,1,7,8,Ebola
Sierra Leone,9/2/2015,4624,287,8698,13609,158,208,3587,3953,Ebola
Mali,9/2/2015,0,1,7,8,,,,6,Ebola
United States of America,9/2/2015,0,0,4,4,0,0,1,1,Ebola
United Kingdom,9/2/2015,0,0,1,1,,,,0,Ebola
Guinea,9/2/2015,3,452,3337,3792,,452,2077,2529,Ebola
Liberia,9/2/2015,5636,1879,3151,10666,,,,4806,Ebola
Spain,9/2/2015,0,0,1,1,0,0,0,0,Ebola
Senegal,9/2/2015,0,0,1,1,0,0,0,0,Ebola
Italy,9/2/2015,0,0,1,1,,,,0,Ebola
Nigeria,9/2/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,9/2/2015,,,6,6,,,2,2,Ebola
Italy,9/3/2015,0,0,1,1,,,,0,Ebola
Spain,9/3/2015,0,0,1,1,0,0,0,0,Ebola
Mali,9/3/2015,0,1,7,8,,,,6,Ebola
United States of America,9/3/2015,0,0,4,4,0,0,1,1,Ebola
Guinea,9/3/2015,2,452,3338,3792,,452,2077,2529,Ebola
Senegal,9/3/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,9/3/2015,0,0,1,1,,,,0,Ebola
Liberia,9/3/2015,5636,1879,3151,10666,,,,4806,Ebola
Nigeria,9/3/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,9/3/2015,,0,6,6,,,2,2,Ebola
Sierra Leone,9/3/2015,4653,287,8698,13638,158,208,3587,3953,Ebola
Spain,9/4/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,9/4/2015,0,0,4,4,0,0,1,1,Ebola
Italy,9/4/2015,0,0,1,1,,,,0,Ebola
Liberia,9/4/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,9/4/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,9/4/2015,0,1,19,20,0,1,7,8,Ebola
Guinea,9/4/2015,2,452,3338,3792,,452,2077,2529,Ebola
Sierra Leone,9/4/2015,4654,287,8698,13639,158,208,3587,3953,Ebola
Liberia,9/4/2015,,0,6,6,,,2,2,Ebola
United Kingdom,9/4/2015,0,0,1,1,,,,0,Ebola
Mali,9/4/2015,0,1,7,8,,,,6,Ebola
Nigeria,9/7/2015,0,1,19,20,0,1,7,8,Ebola
Mali,9/7/2015,0,1,7,8,,,,6,Ebola
Guinea,9/7/2015,3,452,3338,3793,,452,2078,2530,Ebola
Liberia,9/7/2015,,0,6,6,,,2,2,Ebola
Senegal,9/7/2015,0,0,1,1,0,0,0,0,Ebola
Italy,9/7/2015,0,0,1,1,,,,0,Ebola
Spain,9/7/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,9/7/2015,0,0,4,4,0,0,1,1,Ebola
United Kingdom,9/7/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,9/7/2015,4684,287,8699,13670,158,208,3587,3953,Ebola
Liberia,9/7/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,9/8/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,9/8/2015,,0,6,6,,,2,2,Ebola
Nigeria,9/8/2015,0,1,19,20,0,1,7,8,Ebola
Guinea,9/8/2015,2,452,3338,3792,,452,2078,2530,Ebola
United States of America,9/8/2015,0,0,4,4,0,0,1,1,Ebola
Sierra Leone,9/8/2015,4697,287,8699,13683,158,208,3587,3953,Ebola
United Kingdom,9/8/2015,0,0,1,1,,,,0,Ebola
Mali,9/8/2015,0,1,7,8,,,,6,Ebola
Italy,9/8/2015,0,0,1,1,,,,0,Ebola
Liberia,9/8/2015,5636,1879,3151,10666,,,,4806,Ebola
Spain,9/8/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,9/9/2015,4697,287,8699,13683,158,208,3587,3953,Ebola
Italy,9/9/2015,0,0,1,1,,,,0,Ebola
United Kingdom,9/9/2015,0,0,1,1,,,,0,Ebola
Senegal,9/9/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,9/9/2015,2,452,3338,3792,,452,2078,2530,Ebola
Liberia,9/9/2015,5636,1879,3151,10666,,,,4806,Ebola
United States of America,9/9/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,9/9/2015,,,6,6,,,2,2,Ebola
Mali,9/9/2015,0,1,7,8,,,,6,Ebola
Spain,9/9/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,9/9/2015,0,1,19,20,0,1,7,8,Ebola
Nigeria,9/10/2015,0,1,19,20,0,1,7,8,Ebola
Guinea,9/10/2015,1,452,3338,3791,,452,2078,2530,Ebola
Liberia,9/10/2015,,0,6,6,,,2,2,Ebola
Sierra Leone,9/10/2015,4708,287,8702,13697,158,208,3587,3953,Ebola
Italy,9/10/2015,0,0,1,1,,,,0,Ebola
United States of America,9/10/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,9/10/2015,5636,1879,3151,10666,,,,4806,Ebola
United Kingdom,9/10/2015,0,0,1,1,,,,0,Ebola
Spain,9/10/2015,0,0,1,1,0,0,0,0,Ebola
Mali,9/10/2015,0,1,7,8,,,,6,Ebola
Senegal,9/10/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,9/11/2015,4711,287,8703,13701,158,208,3587,3953,Ebola
Nigeria,9/11/2015,0,1,19,20,0,1,7,8,Ebola
Mali,9/11/2015,0,1,7,8,,,,6,Ebola
Liberia,9/11/2015,5636,1879,3151,10666,,,,4806,Ebola
Italy,9/11/2015,0,0,1,1,,,,0,Ebola
Guinea,9/11/2015,1,452,3338,3791,,452,2078,2530,Ebola
Liberia,9/11/2015,,0,6,6,,,2,2,Ebola
United States of America,9/11/2015,0,0,4,4,0,0,1,1,Ebola
Spain,9/11/2015,0,0,1,1,0,0,0,0,Ebola
Senegal,9/11/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,9/11/2015,0,0,1,1,,,,0,Ebola
Spain,9/14/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,9/14/2015,,0,6,6,,,2,2,Ebola
Senegal,9/14/2015,0,0,1,1,0,0,0,0,Ebola
Italy,9/14/2015,0,0,1,1,,,,0,Ebola
Guinea,9/14/2015,3,452,3338,3793,,452,2078,2530,Ebola
Nigeria,9/14/2015,0,1,19,20,0,1,7,8,Ebola
Sierra Leone,9/14/2015,4757,287,8703,13747,158,208,3587,3953,Ebola
United Kingdom,9/14/2015,0,0,1,1,,,,0,Ebola
United States of America,9/14/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,9/14/2015,5636,1879,3151,10666,,,,4806,Ebola
Mali,9/14/2015,0,1,7,8,,,,6,Ebola
Senegal,9/15/2015,0,0,1,1,0,0,0,0,Ebola
Italy,9/15/2015,0,0,1,1,,,,0,Ebola
United States of America,9/15/2015,0,0,4,4,0,0,1,1,Ebola
Spain,9/15/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,9/15/2015,4765,287,8704,13756,158,208,3587,3953,Ebola
United Kingdom,9/15/2015,0,0,1,1,,,,0,Ebola
Nigeria,9/15/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,9/15/2015,5636,1879,3151,10666,,,,4806,Ebola
Guinea,9/15/2015,2,452,3338,3792,,452,2078,2530,Ebola
Mali,9/15/2015,0,1,7,8,,,,6,Ebola
Liberia,9/15/2015,,0,6,6,,,2,2,Ebola
Guinea,9/16/2015,2,452,3338,3792,,452,2078,2530,Ebola
Liberia,9/16/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,9/16/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,9/16/2015,0,0,1,1,,,,0,Ebola
Spain,9/16/2015,0,0,1,1,0,0,0,0,Ebola
Italy,9/16/2015,0,0,1,1,,,,0,Ebola
Mali,9/16/2015,0,1,7,8,,,,6,Ebola
United States of America,9/16/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,9/16/2015,,,6,6,,,2,2,Ebola
Sierra Leone,9/16/2015,4765,287,8704,13756,158,208,3587,3953,Ebola
Nigeria,9/16/2015,0,1,19,20,0,1,7,8,Ebola
Sierra Leone,9/17/2015,4788,287,8704,13779,158,208,3589,3955,Ebola
Liberia,9/17/2015,,0,6,6,,,2,2,Ebola
Mali,9/17/2015,0,1,7,8,,,,6,Ebola
Spain,9/17/2015,0,0,1,1,0,0,0,0,Ebola
Senegal,9/17/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,9/17/2015,4,452,3338,3794,,452,2078,2530,Ebola
Liberia,9/17/2015,5636,1879,3151,10666,,,,4806,Ebola
United States of America,9/17/2015,0,0,4,4,0,0,1,1,Ebola
Nigeria,9/17/2015,0,1,19,20,0,1,7,8,Ebola
United Kingdom,9/17/2015,0,0,1,1,,,,0,Ebola
Italy,9/17/2015,0,0,1,1,,,,0,Ebola
Liberia,9/18/2015,,0,6,6,,,2,2,Ebola
Senegal,9/18/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,9/18/2015,0,1,19,20,0,1,7,8,Ebola
United Kingdom,9/18/2015,0,0,1,1,,,,0,Ebola
Liberia,9/18/2015,5636,1879,3151,10666,,,,4806,Ebola
Spain,9/18/2015,0,0,1,1,0,0,0,0,Ebola
Mali,9/18/2015,0,1,7,8,,,,6,Ebola
United States of America,9/18/2015,0,0,4,4,0,0,1,1,Ebola
Guinea,9/18/2015,3,452,3339,3794,,452,2079,2531,Ebola
Sierra Leone,9/18/2015,4794,287,8704,13785,158,208,3589,3955,Ebola
Italy,9/18/2015,0,0,1,1,,,,0,Ebola
Liberia,9/21/2015,5636,1879,3151,10666,,,,4806,Ebola
Nigeria,9/21/2015,0,1,19,20,0,1,7,8,Ebola
Mali,9/21/2015,0,1,7,8,,,,6,Ebola
United Kingdom,9/21/2015,0,0,1,1,,,,0,Ebola
Guinea,9/21/2015,4,453,3340,3797,,453,2079,2532,Ebola
Senegal,9/21/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,9/21/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,9/21/2015,,0,6,6,,,2,2,Ebola
Italy,9/21/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,9/21/2015,4820,287,8704,13811,158,208,3589,3955,Ebola
Spain,9/21/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,9/22/2015,0,1,19,20,0,1,7,8,Ebola
Italy,9/22/2015,0,0,1,1,,,,0,Ebola
United States of America,9/22/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,9/22/2015,,0,6,6,,,2,2,Ebola
Spain,9/22/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,9/22/2015,4832,287,8704,13823,158,208,3589,3955,Ebola
Mali,9/22/2015,0,1,7,8,,,,6,Ebola
United Kingdom,9/22/2015,0,0,1,1,,,,0,Ebola
Guinea,9/22/2015,7,453,3340,3800,,453,2079,2532,Ebola
Liberia,9/22/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,9/22/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,9/23/2015,0,1,19,20,0,1,7,8,Ebola
Spain,9/23/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,9/23/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,9/23/2015,4832,287,8704,13823,158,208,3589,3955,Ebola
Liberia,9/23/2015,,,6,6,,,2,2,Ebola
Senegal,9/23/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,9/23/2015,0,0,4,4,0,0,1,1,Ebola
